card_id,r1c1,r1c2,r1c3,r1c4,r1c5,r2c1,r2c2,r2c3,r2c4,r2c5,r3c1,r3c2,r3c3,r3c4,r3c5,r4c1,r4c2,r4c3,r4c4,r4c5,r5c1,r5c2,r5c3,r5c4,r5c5
Card 01,IS THE SAME AGE AS YOU,IS WEARING THEIR HAIR UP,HAS LIPSTICK IN THEIR BAG,HAS A MASTERS DEGREE,WAS BORN IN ANOTHER COUNTRY,HAS A BROTHER,HAS 3+ CHILDREN,IS RELATED TO THE DAD-TO-BE,IS WEARING NAIL POLISH,HAS THE SAME SHOE SIZE AS YOU,HAS TRAVELED THE FURTHEST,HAS TRAVELED WITH THE MOM-TO-BE,FREE SPACE,IS AN ONLY CHILD,HAS A TATTOO,HAS A PET CAT,HAS A SISTER,HAS A PET DOG,HAS BEEN TO MORE THAN 3 COUNTRIES,IS RELATED TO THE MOM-TO-BE,IS VEGETARIAN OR VEGAN,WAS BORN IN AUGUST,HAS A BABY UNDER 2 YEARS OLD,IS WEARING EARRINGS,IS LEFT-HANDED
Card 02,HAS A PET CAT,WAS BORN IN CALIFORNIA,IS AN ONLY CHILD,IS WEARING EARRINGS,IS WEARING THEIR HAIR UP,HAS BEEN TO MORE THAN 3 COUNTRIES,IS VEGETARIAN OR VEGAN,HAS 3+ CHILDREN,IS LEFT-HANDED,HAS A BROTHER,IS WEARING NAIL POLISH,HAS A BABY UNDER 2 YEARS OLD,FREE SPACE,WAS BORN IN ANOTHER COUNTRY,HAS THE SAME SHOE SIZE AS YOU,HAS A PET DOG,HAS A SISTER,HAS LIPSTICK IN THEIR BAG,HAS A TATTOO,HAS A MASTERS DEGREE,IS RELATED TO THE MOM-TO-BE,IS THE SAME AGE AS YOU,IS RELATED TO THE DAD-TO-BE,HAS TRAVELED WITH THE MOM-TO-BE,WAS BORN IN AUGUST
Card 03,HAS A PET DOG,IS RELATED TO THE MOM-TO-BE,IS WEARING A RING,HAS A BROTHER,IS WEARING EARRINGS,IS THE SAME AGE AS YOU,HAS 3+ CHILDREN,HAS A PET CAT,IS VEGETARIAN OR VEGAN,HAS THE SAME SHOE SIZE AS YOU,WAS BORN IN ANOTHER COUNTRY,IS AN ONLY CHILD,FREE SPACE,IS WEARING NAIL POLISH,HAS A MASTERS DEGREE,HAS A BABY UNDER 2 YEARS OLD,IS RELATED TO THE DAD-TO-BE,HAS TRAVELED WITH THE MOM-TO-BE,WAS BORN IN CALIFORNIA,IS WEARING THEIR HAIR UP,HAS LIPSTICK IN THEIR BAG,HAS A TATTOO,HAS BEEN TO MORE THAN 3 COUNTRIES,HAS A SISTER,WAS BORN IN AUGUST
Card 04,IS WEARING NAIL POLISH,IS WEARING GLASSES,HAS THE SAME SHOE SIZE AS YOU,HAS A MASTERS DEGREE,HAS A PET DOG,IS AN ONLY CHILD,WAS BORN IN CALIFORNIA,IS WEARING A RING,HAS A BROTHER,IS THE SAME AGE AS YOU,IS VEGETARIAN OR VEGAN,IS RELATED TO THE MOM-TO-BE,FREE SPACE,WAS BORN IN AUGUST,HAS A PET CAT,IS RELATED TO THE DAD-TO-BE,HAS 3+ CHILDREN,HAS BEEN TO MORE THAN 3 COUNTRIES,IS WEARING THEIR HAIR UP,HAS A TATTOO,HAS A SISTER,HAS TRAVELED WITH THE MOM-TO-BE,WAS BORN IN ANOTHER COUNTRY,IS WEARING EARRINGS,HAS LIPSTICK IN THEIR BAG
Card 05,HAS A PET DOG,HAS A BROTHER,IS WEARING A RING,IS RELATED TO THE DAD-TO-BE,IS WEARING EARRINGS,IS VEGETARIAN OR VEGAN,HAS THE SAME SHOE SIZE AS YOU,IS THE SAME AGE AS YOU,WAS BORN IN CALIFORNIA,HAS 3+ CHILDREN,IS WEARING NAIL POLISH,IS WEARING GLASSES,FREE SPACE,HAS TRAVELED WITH THE MOM-TO-BE,HAS A MASTERS DEGREE,IS RELATED TO THE MOM-TO-BE,CAN SPEAK MORE THAN ONE LANGUAGE,HAS A TATTOO,HAS A PET CAT,HAS BEEN TO MORE THAN 3 COUNTRIES,WAS BORN IN ANOTHER COUNTRY,WAS BORN IN AUGUST,IS WEARING THEIR HAIR UP,HAS LIPSTICK IN THEIR BAG,HAS A SISTER
Card 06,PLAYS A MUSICAL INSTRUMENT,IS THE SAME AGE AS YOU,HAS A BROTHER,HAS THE SAME SHOE SIZE AS YOU,IS RELATED TO THE DAD-TO-BE,IS WEARING THEIR HAIR UP,IS WEARING GLASSES,HAS TRAVELED WITH THE MOM-TO-BE,CAN SPEAK MORE THAN ONE LANGUAGE,IS WEARING NAIL POLISH,WAS BORN IN ANOTHER COUNTRY,HAS A TATTOO,FREE SPACE,WAS BORN IN AUGUST,HAS BEEN TO MORE THAN 3 COUNTRIES,IS WEARING A RING,HAS A MASTERS DEGREE,WAS BORN IN CALIFORNIA,HAS A PET CAT,HAS A PET DOG,IS RELATED TO THE MOM-TO-BE,HAS A SISTER,IS VEGETARIAN OR VEGAN,IS WEARING EARRINGS,HAS LIPSTICK IN THEIR BAG
Card 07,HAS LIPSTICK IN THEIR BAG,IS THE SAME AGE AS YOU,IS WEARING THEIR HAIR UP,HAS A BROTHER,PLAYS A MUSICAL INSTRUMENT,HAS A MASTERS DEGREE,HAS A TATTOO,HAS TRAVELED WITH THE MOM-TO-BE,HAS A SISTER,WAS BORN IN AUGUST,HAS THE SAME SHOE SIZE AS YOU,IS WEARING GLASSES,FREE SPACE,WAS BORN IN CALIFORNIA,IS WEARING EARRINGS,IS RELATED TO THE DAD-TO-BE,IS VEGETARIAN OR VEGAN,IS WEARING A DRESS,WAS BORN IN ANOTHER COUNTRY,HAS BEEN TO MORE THAN 3 COUNTRIES,CAN SPEAK MORE THAN ONE LANGUAGE,HAS A PET CAT,HAS A PET DOG,IS WEARING A RING,IS WEARING NAIL POLISH
Card 08,HAS LIPSTICK IN THEIR BAG,WAS BORN IN ANOTHER COUNTRY,HAS A SISTER,HAS BEEN TO MORE THAN 3 COUNTRIES,IS WEARING A RING,HAS TRAVELED WITH THE MOM-TO-BE,IS WEARING A DRESS,CAN SPEAK MORE THAN ONE LANGUAGE,IS RELATED TO THE DAD-TO-BE,HAS TRAVELED THE FURTHEST,WAS BORN IN CALIFORNIA,IS VEGETARIAN OR VEGAN,FREE SPACE,HAS A PET CAT,IS WEARING NAIL POLISH,PLAYS A MUSICAL INSTRUMENT,HAS A BROTHER,IS WEARING GLASSES,HAS A PET DOG,IS THE SAME AGE AS YOU,HAS THE SAME SHOE SIZE AS YOU,HAS A TATTOO,WAS BORN IN AUGUST,IS WEARING THEIR HAIR UP,HAS A MASTERS DEGREE
Card 09,WAS BORN IN AUGUST,IS WEARING A RING,IS RELATED TO THE DAD-TO-BE,PLAYS A MUSICAL INSTRUMENT,HAS A SISTER,IS WEARING THEIR HAIR UP,HAS LIPSTICK IN THEIR BAG,IS WEARING GLASSES,HAS TRAVELED WITH THE MOM-TO-BE,HAS A BROTHER,WAS BORN IN ANOTHER COUNTRY,HAS TRAVELED THE FURTHEST,FREE SPACE,HAS A TATTOO,IS VEGETARIAN OR VEGAN,HAS A PET DOG,HAS A PET CAT,CAN SPEAK MORE THAN ONE LANGUAGE,IS LEFT-HANDED,IS WEARING A DRESS,WAS BORN IN CALIFORNIA,HAS THE SAME SHOE SIZE AS YOU,HAS A MASTERS DEGREE,IS THE SAME AGE AS YOU,HAS BEEN TO MORE THAN 3 COUNTRIES
Card 10,HAS A TATTOO,IS WEARING A RING,HAS A BABY UNDER 2 YEARS OLD,IS WEARING THEIR HAIR UP,HAS A SISTER,HAS BEEN TO MORE THAN 3 COUNTRIES,HAS A MASTERS DEGREE,WAS BORN IN CALIFORNIA,HAS A BROTHER,WAS BORN IN AUGUST,HAS THE SAME SHOE SIZE AS YOU,IS VEGETARIAN OR VEGAN,FREE SPACE,HAS TRAVELED WITH THE MOM-TO-BE,HAS A PET CAT,IS LEFT-HANDED,IS RELATED TO THE DAD-TO-BE,IS WEARING A DRESS,CAN SPEAK MORE THAN ONE LANGUAGE,WAS BORN IN ANOTHER COUNTRY,HAS A PET DOG,IS WEARING GLASSES,HAS LIPSTICK IN THEIR BAG,PLAYS A MUSICAL INSTRUMENT,HAS TRAVELED THE FURTHEST
